Type1, Node1, Type2, Node2, Edgetype, X1, X2
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, CALL, 3, 4
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, transfer(address,uint256), inner, 3, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0x1d8c71cf5f5df194
operate, SLOAD, operate, SLOAD, inner, 0x1d8c71cf5f5df194, 0x1d8c71cf5f5df194
operate, SLOAD, operate, SSTORE, inner, 0x1d8c71cf5f5df194, 0xee0002f5c4921
operate, SSTORE, operate, SLOAD, inner, 0xee0002f5c4921, 0x338e9364cd09137246
operate, SLOAD, operate, SSTORE, inner, 0x338e9364cd09137246, 0x33ac10f69c39151ab9
operate, SSTORE, event, log, inner, 0x33ac10f69c39151ab9, LOG3
event, LOG3, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerEventToReturn, LOG3, 3
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0xf239009a101b6b930a527deaab6961b6e7dec8a6, RETURN, 4, 3
addr, 0x11950d141ecb863f01007add7d1a342041227b58, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, STATICCALL, 2, 3
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, balanceOf(address), inner, 2, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0x33ac10f69c39151ab9
operate, SLOAD, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerOperateToReturn, 0x33ac10f69c39151ab9, 2
addr, 0x6982508145454ce325ddbe47a25d4ec3d2311933, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, RETURN, 3, 2
event, LOG3, operate, SLOAD, inner, LOG3, 0xb400b40043fcc20a00000000000000000001988b560d2d9f333013e4
operate, SLOAD, operate, SSTORE, inner, 0xb400b40043fcc20a00000000000000000001988b560d2d9f333013e4, 0x10000b400b40043fcc20a00000000000000000001988b560d2d9f333013e4
